"Id","Name","Type","Tags","UsageStart","UsageEnd","BillingPeriodName","InvoiceName","InstanceName","InstanceId","InstanceLocation","Currency","UsageQuantity","BillableQuantity","PretaxCost","IsEstimated","MeterId","MeterDetails","AdditionalProperties"
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/7fdb7c10cd694337cf27bafa24a5eec5","7fdb7c10cd694337cf27bafa24a5eec5","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-3","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/ACCRST-3","southcentralus","USD","8","8","0.535988869638523","True","a39864f6-3e0d-4637-86bb-1e53251ecef9",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/47147a96aab0903da1c07070fbf04605","47147a96aab0903da1c07070fbf04605","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-2","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/ACCRST-2","southcentralus","USD","8","8","0.535988869638523","True","a39864f6-3e0d-4637-86bb-1e53251ecef9",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/73745dae2a1f688cb10065623e7101d5","73745dae2a1f688cb10065623e7101d5","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-1","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/ACCRST-1","southcentralus","USD","8","8","0.535988869638523","True","a39864f6-3e0d-4637-86bb-1e53251ecef9",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/ac40b97cf1f4314da95fc9ee61ff3754","ac40b97cf1f4314da95fc9ee61ff3754","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"KMAZST12-1","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/KMAZST12-1","southcentralus","USD","0.012703","0.012703","0.00110590476910906","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/b60ad085cfff9f400feaf87544a4fcc1","b60ad085cfff9f400feaf87544a4fcc1","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AzureNxtra-1","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/AzureNxtra-1","southcentralus","USD","0.007471","0.007471","0.000650414432025017","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/7f1f2fe0e849dac8001bfd4e5a3a6727","7f1f2fe0e849dac8001bfd4e5a3a6727","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"Azstarm","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/Azstarm","southcentralus","USD","0.013441","0.013441","0.0011701539795005","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/3210ffcbf41bc87f3eb71e4f0b990369","3210ffcbf41bc87f3eb71e4f0b990369","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AZSTBill","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/AZSTBill","southcentralus","USD","0.052964","0.052964","0.00461096907746928","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/a60754a397d6aef559d6f7874a38080b","a60754a397d6aef559d6f7874a38080b","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AXAZST2-1","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/AXAZST2-1","southcentralus","USD","0.014318","0.014318","0.00124650432843451","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/fc3f68cd06d46ec6a63aec1cca8bd108","fc3f68cd06d46ec6a63aec1cca8bd108","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AXAZST","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/AXAZST","southcentralus","USD","0.015591","0.015591","0.00135732986343221","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/2df13dcde662d2e1e7da2cef32ecef82","2df13dcde662d2e1e7da2cef32ecef82","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-3","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Compute/virtualMachines/ACCRST-3","southcentralus","USD","0.001328","0.001328","0.000115613755284329","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4",,
