"Name","Type","Tags","UsageStart","UsageEnd","InvoiceName","InstanceName","InstanceLocation","Currency","Subscriptionid","BillableQuantity","PretaxCost","IsEstimated","MeterId","UsageQuantity","TipcoCost"
"23e7b17779d74b1048c9aec74960140a","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","19-03-2018 00:00:00","19-03-2018 23:59:59","201804-118109190558312","ACCRST-2","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0","0","False","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.015757","0.110299000516534"
"01701f9c61f2d681665510553056b762","Microsoft.Consumption/usageDetails","","22-03-2018 00:00:00","22-03-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0158","0.00000689655172413793","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0158","0.110599994659424"
"a85c6dd9251b6d993799341ec06d1f2f","Microsoft.Consumption/usageDetails","","27-03-2018 00:00:00","27-03-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0158","0.00000689655172413793","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0158","0.110599994659424"
"da807fe0fd206cc6ac9226c0fde4c64e","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","29-03-2018 00:00:00","29-03-2018 23:59:59","","qfy4lbchiohweclm","ussouthcentral","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0158","0.00000698342541436464","True","b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52","0.0158","0.110599994659424"
"374298ec16bc185703431df03a6da84e","Microsoft.Consumption/usageDetails","","19-03-2018 00:00:00","19-03-2018 23:59:59","201804-118109190558312","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0158","0.0000075688622754491","False","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0158","0.110599994659424"
"db447d4db07cb84e610e97abde754865","Microsoft.Consumption/usageDetails","","26-03-2018 00:00:00","26-03-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0159","0.00000694020078568311","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0159","0.111300006508827"
"3ab929140a542f78882e6e0ad841173d","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","03-04-2018 00:00:00","03-04-2018 23:59:59","","ACCRST-2","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.015993","0.00139232740079991","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.015993","0.111950993537903"
"e0cd704d7c47d9f4f7e261454f00ffc1","Microsoft.Consumption/usageDetails","","01-04-2018 00:00:00","01-04-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.016","0.00000698384984722828","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.016","0.112000005319715"
"69cd273de8d60784f96e188a72e74ddf","Microsoft.Consumption/usageDetails","","29-03-2018 00:00:00","29-03-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.016","0.00000698384984722828","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.016","0.112000005319715"
"56880ecd3a18b2eb987d6c9ee5f7ba9c","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","01-04-2018 00:00:00","01-04-2018 23:59:59","","ACCRST-2","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.016066","0.00139868267499852","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.016066","0.112461999058723"
